,Title,Year,Genre,Awards,Metascore,BoxOffice
339,The Shipping News,2001,Drama,Nominated for 2 Golden Globes. Another 2 wins & 11 nominations.,47,"$11,405,825"
340,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",Won 4 Oscars. Another 113 wins & 123 nominations.,92,"$314,000,000"
341,How High,2001,"Comedy, Fantasy",N/A,29,"$31,155,435"
342,Jimmy Neutron: Boy Genius,2001,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",Nominated for 1 Oscar. Another 5 nominations.,65,"$80,865,848"
343,Joe Somebody,2001,"Comedy, Drama",1 nomination.,42,N/A
345,Kate & Leopold,2001,"Comedy, Fantasy, Romance",Nominated for 1 Oscar. Another 1 win & 4 nominations.,44,"$47,095,453"
346,Mean Machine,2001,"Comedy, Crime, Drama, Sport",N/A,45,N/A
347,I Am Sam,2001,Drama,Nominated for 1 Oscar. Another 8 wins & 10 nominations.,28,"$40,270,895"
348,Black Hawk Down,2001,"Drama, History, War",Won 2 Oscars. Another 8 wins & 37 nominations.,74,"$108,585,355"
1956,The Hole,2001,"Drama, Mystery, Thriller",1 win & 3 nominations.,N/A,N/A
369,The Jimmy Show,2001,"Comedy, Drama",1 win.,39,N/A
260,Rush Hour 2,2001,"Action, Comedy, Crime, Thriller",10 wins & 22 nominations.,48,N/A
331,Ocean's Eleven,2001,"Crime, Thriller",4 wins & 20 nominations.,74,"$183,349,128"
304,Riding in Cars with Boys,2001,"Biography, Comedy, Drama",2 wins & 2 nominations.,43,"$29,601,298"
329,Impostor,2001,"Drama, Mystery, Sci-Fi, Thriller",1 nomination.,33,"$5,250,001"
327,In the Bedroom,2001,"Crime, Drama",Nominated for 5 Oscars. Another 38 wins & 69 nominations.,86,"$35,733,119"
306,From Hell,2001,"Horror, Mystery, Thriller",10 nominations.,54,"$30,692,411"
307,K-PAX,2001,"Drama, Sci-Fi",3 nominations.,49,"$50,040,205"
308,Life as a House,2001,Drama,Nominated for 1 Golden Globe. Another 2 wins & 8 nominations.,45,"$15,412,701"
309,Thir13en Ghosts,2001,Horror,3 nominations.,30,"$41,601,840"
310,On the Line,2001,"Comedy, Family, Romance",4 nominations.,34,N/A
311,Domestic Disturbance,2001,"Crime, Mystery, Thriller",1 win & 3 nominations.,29,"$44,379,332"
312,Wasabi,2001,"Action, Drama, Comedy",N/A,53,N/A
313,Shallow Hal,2001,"Comedy, Drama, Fantasy, Romance",3 nominations.,48,"$70,703,043"
314,"Monsters, Inc.",2001,"Animation, Adventure, Comedy, Family, Fantasy",Won 1 Oscar. Another 13 wins & 38 nominations.,78,"$34,034,168"
316,The One,2001,"Action, Sci-Fi, Thriller",4 nominations.,25,N/A
317,Gosford Park,2001,"Comedy, Drama, Mystery",Won 1 Oscar. Another 31 wins & 73 nominations.,90,"$41,274,328"
318,Monster's Ball,2001,"Drama, Romance",Won 1 Oscar. Another 14 wins & 22 nominations.,69,"$31,252,964"
319,The Wash,2001,Comedy,N/A,18,"$9,756,000"
321,Behind Enemy Lines,2001,"Action, Drama, Thriller, War",1 win & 2 nominations.,49,"$58,767,833"
322,Frailty,2001,"Crime, Drama, Thriller",5 wins & 16 nominations.,64,"$13,076,378"
323,Spy Game,2001,"Action, Crime, Thriller",3 nominations.,63,"$62,326,785"
324,Out Cold,2001,"Comedy, Sport",N/A,22,"$13,850,403"
325,Black Knight,2001,"Adventure, Comedy, Fantasy",2 nominations.,32,"$33,327,325"
326,Novocaine,2001,"Comedy, Crime, Drama, Thriller",N/A,45,"$1,512,342"
328,Texas Rangers,2001,"Action, Adventure, Drama, Thriller, Western",N/A,29,N/A
