,Title,Year,Genre,Awards,Metascore,BoxOffice
1756,The Joneses,2009,Drama,1 nomination.,55.0,"$1,000,000"
1758,Love Happens,2009,"Drama, Romance",1 win.,33.0,"$22,927,390"
1755,The Informant!,2009,"Biography, Comedy, Crime, Drama",Nominated for 2 Golden Globes. Another 1 win & 18 nominations.,66.0,"$33,278,731"
1761,Couples Retreat,2009,Comedy,1 win & 4 nominations.,23.0,"$109,176,215"
1753,The Invention of Lying,2009,"Comedy, Fantasy, Romance",1 nomination.,58.0,"$18,439,082"
1752,Whip It,2009,"Drama, Sport",8 nominations.,68.0,"$13,000,000"
1750,Tanner Hall,2009,"Drama, Romance",2 wins.,40.0,"$5,005"
1803,2012,2009,"Action, Adventure, Sci-Fi",5 wins & 21 nominations.,49.0,"$166,112,167"
1749,The Box,2009,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",6 nominations.,47.0,"$114,882,598"
1754,The Loved Ones,2009,"Horror, Thriller",2 wins & 11 nominations.,0.0,$0
1760,16 to Life,2009,"Comedy, Romance",5 wins.,0.0,$0
1773,I Can Do Bad All by Myself,2009,"Comedy, Drama",1 win & 5 nominations.,55.0,"$51,697,449"
1763,I Hope They Serve Beer in Hell,2009,Comedy,none,26.0,"$1,357,585"
1764,Ninja Assassin,2009,"Action, Thriller",none,34.0,"$38,105,077"
1765,Starsuckers,2009,Documentary,none,0.0,$0
1766,Little Nicholas,2009,"Comedy, Family",3 nominations.,0.0,$0
1767,Gentlemen Broncos,2009,"Adventure, Comedy, Sci-Fi",2 nominations.,28.0,$0
1768,A Shine of Rainbows,2009,"Drama, Family",4 wins & 8 nominations.,52.0,$0
1769,Mao's Last Dancer,2009,"Biography, Drama, Music, Romance",6 wins & 20 nominations.,55.0,"$4,806,750"
1770,A Serious Man,2009,"Comedy, Drama",Nominated for 2 Oscars. Another 17 wins & 72 nominations.,79.0,"$9,190,525"
1771,Defendor,2009,"Comedy, Crime, Drama",1 win & 7 nominations.,57.0,$0
1772,Jennifer's Body,2009,"Comedy, Horror",3 wins & 4 nominations.,47.0,"$16,031,583"
1748,Cloudy with a Chance of Meatballs,2009,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",Nominated for 1 Golden Globe. Another 1 win & 13 nominations.,66.0,"$124,870,275"
1762,Surrogates,2009,"Action, Sci-Fi, Thriller",none,45.0,"$38,542,418"
1747,Ajami,2009,"Crime, Drama",Nominated for 1 Oscar. Another 15 wins & 9 nominations.,82.0,"$500,000"
1780,Inglourious Basterds,2009,"Adventure, Drama, War",Won 1 Oscar. Another 129 wins & 165 nominations.,69.0,"$120,523,073"
1775,The Good Heart,2009,"Comedy, Drama",6 wins & 8 nominations.,40.0,$0
1804,Get Low,2009,"Drama, Mystery",5 wins & 27 nominations.,77.0,"$9,176,469"
1779,The Time Traveler's Wife,2009,"Drama, Fantasy, Romance, Sci-Fi",1 win & 5 nominations.,47.0,"$63,387,284"
1781,9,2009,"Animation, Action, Adventure, Drama, Mystery, Sci-Fi, Thriller",9 nominations.,60.0,"$31,691,649"
1782,World's Greatest Dad,2009,"Comedy, Drama",1 nomination.,69.0,"$166,467"
1783,Shorts,2009,"Comedy, Family, Fantasy",1 win & 1 nomination.,53.0,"$20,875,468"
1784,Post Grad,2009,"Comedy, Romance",none,35.0,"$6,290,448"
1785,The Final Destination,2009,"Horror, Thriller",2 wins & 1 nomination.,30.0,"$66,436,248"
1786,Down Terrace,2009,"Crime, Drama",3 wins & 4 nominations.,68.0,"$9,609"
1787,Gamer,2009,"Action, Sci-Fi, Thriller",1 win.,27.0,"$20,488,579"
1788,Youth in Revolt,2009,"Comedy, Drama, Romance",1 win & 1 nomination.,63.0,"$15,150,933"
1789,Taking Woodstock,2009,"Biography, Comedy, Drama, Music",8 nominations.,55.0,"$7,366,736"
1790,Carriers,2009,"Drama, Horror, Sci-Fi, Thriller",1 nomination.,0.0,"$90,820"
1774,"The Goods: Live Hard, Sell Hard",2009,Comedy,none,39.0,"$15,000,327"
1791,All About Steve,2009,"Comedy, Romance",2 wins & 3 nominations.,17.0,"$33,806,061"
1793,I Am Love,2009,"Drama, Romance",Nominated for 1 Oscar. Another 16 wins & 40 nominations.,79.0,"$5,004,648"
1794,Up in the Air,2009,"Drama, Romance",Nominated for 6 Oscars. Another 76 wins & 158 nominations.,83.0,"$83,775,048"
1795,Capitalism: A Love Story,2009,"Documentary, Crime, News",4 wins & 12 nominations.,61.0,"$14,342,792"
1796,Solitary Man,2009,"Comedy, Drama, Romance",2 wins & 3 nominations.,69.0,"$4,360,548"
1797,Pandorum,2009,"Action, Horror, Mystery, Sci-Fi, Thriller",none,28.0,"$10,261,085"
1798,Soul Kitchen,2009,"Comedy, Drama",4 wins & 9 nominations.,76.0,"$200,000"
1799,Whiteout,2009,"Action, Crime, Horror, Mystery, Thriller",none,0.0,"$10,300,000"
1800,Sorority Row,2009,"Horror, Mystery",2 nominations.,24.0,"$11,915,856"
1801,Perrier's Bounty,2009,"Action, Comedy, Crime",3 nominations.,47.0,$0
1802,Extract,2009,"Comedy, Crime, Romance",none,61.0,"$10,642,511"
1777,Case 39,2009,"Horror, Mystery, Thriller",3 nominations.,25.0,"$13,248,477"
1776,Zombieland,2009,"Adventure, Comedy, Horror, Sci-Fi",9 wins & 28 nominations.,73.0,"$75,590,286"
1792,The Last Station,2009,"Biography, Drama, Romance",Nominated for 2 Oscars. Another 3 wins & 15 nominations.,76.0,"$6,500,000"
1751,Splice,2009,"Drama, Horror, Sci-Fi",4 wins & 23 nominations.,66.0,"$16,999,046"
1822,It's Complicated,2009,"Comedy, Drama, Romance",Nominated for 3 Golden Globes. Another 8 wins & 12 nominations.,57.0,"$112,703,470"
1837,Astro Boy,2009,"Animation, Action, Comedy, Family, Sci-Fi",4 nominations.,53.0,"$19,548,064"
1808,Nine,2009,"Drama, Musical, Romance",Nominated for 4 Oscars. Another 8 wins & 56 nominations.,49.0,"$19,628,665"
